"BOKFØRINGSDATO";"RENTEDATO";"ARKIVREFERANSE";"TYPE";"TEKST";"UT FRA KONTO";"INN PÅ KONTO";
"2013-10-21";"2013-10-21";"17017318956";"Varekjøp";"20.10 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";207.00;;
"2013-10-21";"2013-10-21";"17017910182";"Varekjøp";"19.10 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";151.00;;
"2013-10-21";"2013-10-21";"17017505243";"Varekjøp";"19.10 JOE & THE JUICE BRODTKORBSGT SANDVIKA";130.00;;
"2013-10-21";"2013-10-21";"17017900893";"Varekjøp";"20.10 ODONATA AS GML SNARØYV  SNARØYA";482.00;;
"2013-10-21";"2013-10-21";"50790894131";"Overførsel fra utlandet";"CISCO SYSTEMS (CSCO) ESPP OMNIBUS  USD           1.169,83";;6911.71;
"2013-10-21";"2013-10-21";"17017886862";"Varekjøp";"19.10 SPRELL SANDVIKA BRODTKORBSGT SANDVIKA";149.00;;
"2013-10-21";"2013-10-21";"50790894132";"Omkostninger";"F61017212744000 CHG       N16";100.00;;
"2013-10-18";"2013-10-18";"17017974138";"Varekjøp";"17.10 EILEFS LANDHAND KRISTIAN IVS OSLO";316.00;;
"2013-10-18";"2013-10-18";"17017549936";"Varekjøp";"17.10 EILEFS LANDHAND KRISTIAN IVS OSLO";106.00;;
"2013-10-18";"2013-10-18";"17017410266";"Varekjøp";"17.10 EILEFS LANDHAND KRISTIAN IVS OSLO";93.00;;
"2013-10-17";"2013-10-17";"17017972703";"Varekjøp";"16.10 MENY CC VEST LILLEAKERVN  OSLO";122.10;;
"2013-10-17";"2013-10-17";"17017567840";"Varekjøp";"16.10 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";37.40;;
"2013-10-17";"2013-10-17";"50001685147";"Visa";"*9469 15.10 NOK 1095.00 GODTLEVERT.NO AS Kurs: 1.0000";1095.00;;
"2013-10-17";"2013-10-17";"17017205448";"Varekjøp";"16.10 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";11.70;;
"2013-10-16";"2013-10-16";"17017633858";"Varekjøp";"15.10 MENY CC VEST LILLEAKERVN  OSLO";312.50;;
"2013-10-16";"2013-10-16";"50001685147";"Visa";"*9469 14.10 USD 11.99 Amazon Services-Kindle Kurs: 6.1159";73.33;;
"2013-10-16";"2013-10-16";"50001685147";"Visa";"*9469 14.10 NOK 54.00 EUROPARK EMV Kurs: 1.0000";54.00;;
"2013-10-16";"2013-10-16";"17017725433";"Varekjøp";"16.10 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-10-15";"2013-10-15";"17017789407";"Varekjøp";"15.10 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-10-15";"2013-10-15";"17017943976";"Varekjøp";"14.10 KIWI 410 LILLEA LILLEAKERVN. OSLO";211.60;;
"2013-10-14";"2013-10-14";"17017948951";"Varekjøp";"14.10 TINGHUSET KAFFE C J HAMBROS  OSLO";39.00;;
"2013-10-14";"2013-10-14";"17017047849";"Varekjøp";"12.10 MENY CC VEST LILLEAKERVN  OSLO";146.00;;
"2013-10-14";"2013-10-14";"17017499064";"Varekjøp";"13.10 JOKER LYSAKER DRAMMENSVN.  LYSAKER";75.90;;
"2013-10-14";"2013-10-14";"17017194549";"Varekjøp";"14.10 STRESS K.JOHAN  KARL JOHANSG OSLO";899.00;;
"2013-10-14";"2013-10-14";"17017791823";"Varekjøp";"14.10 SAXEN SKØYEN HOVFARET 17  OSLO";290.00;;
"2013-10-14";"2013-10-14";"17017179061";"Varekjøp";"12.10 KIWI 410 LILLEA LILLEAKERVN. OSLO";120.30;;
"2013-10-14";"2013-10-14";"17017669128";"Varekjøp";"12.10 SCIROCCO HAIRDR LILLEAKERVN. OSLO";850.00;;
"2013-10-14";"2013-10-14";"17017120497";"Varekjøp";"12.10 STEAM OSLO LILLEAKERVN  OSLO";38.00;;
"2013-10-14";"2013-10-14";"17017215320";"Varekjøp";"12.10 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";151.00;;
"2013-10-14";"2013-10-14";"17017956739";"Varekjøp";"13.10 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";76.00;;
"2013-10-14";"2013-10-14";"17017909480";"Varekjøp";"14.10 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-10-14";"2013-10-14";"17017999294";"Varekjøp";"13.10 STRAND BUTIKK STRANDALLEN  STABEKK";306.00;;
"2013-10-14";"2013-10-14";"17017000550";"Varekjøp";"13.10 STRAND BUTIKK STRANDALLEN  STABEKK";34.00;;
"2013-10-11";"2013-10-11";"50001685147";"Visa";"*9469 09.10 NOK 44.00 OSLO KOMMUNE Kurs: 1.0000";44.00;;
"2013-10-11";"2013-10-11";"17017124626";"Varekjøp";"11.10 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-10-10";"2013-10-10";"17017107862";"Varekjøp";"10.10 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-10-10";"2013-10-10";"50001685147";"Visa";"*9469 08.10 NOK 1095.00 GODTLEVERT.NO AS Kurs: 1.0000";1095.00;;
"2013-10-09";"2013-10-09";"17017888742";"Varekjøp";"09.10 STATOIL SKØYEN  DRAMMENSVEIE OSLO";100.00;;
"2013-10-09";"2013-10-09";"17017173897";"Varekjøp";"09.10 MENY CC VEST LILLEAKERVN  OSLO";385.70;;
"2013-10-09";"2013-10-09";"17017150307";"Varekjøp";"09.10 BYGDØY ALLE TANNESTETISK SENTER";950.00;;
"2013-10-08";"2013-10-08";"17017255623";"Varekjøp";"07.10 KIWI 410 LILLEA LILLEAKERVN. OSLO";209.20;;
"2013-10-08";"2013-10-08";"50001685147";"Visa";"*9469 06.10 USD 1.01 Amazon Web Services Kurs: 6.0891";6.15;;
"2013-10-07";"2013-10-07";"17017159652";"Varekjøp";"04.10 MENY CC VEST LILLEAKERVN  OSLO";816.29;;
"2013-10-07";"2013-10-07";"17017572893";"Varekjøp";"05.10 MENY CC VEST LILLEAKERVN  OSLO";321.33;;
"2013-10-07";"2013-10-07";"17017622441";"Varekjøp";"05.10 ERICHSEN BJØRKH BISKOP JENS  OSLO";141.00;;
"2013-10-07";"2013-10-07";"17017608958";"Varekjøp";"05.10 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";140.00;;
"2013-10-07";"2013-10-07";"17017710969";"Varekjøp";"04.10 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";205.29;;
"2013-10-07";"2013-10-07";"17017398090";"Varekjøp";"06.10 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";134.00;;
"2013-10-04";"2013-10-04";"50001685147";"Visa";"*9469 02.10 NOK 135.00 EUROPARK EMV Kurs: 1.0000";135.00;;
"2013-10-04";"2013-10-04";"17017220422";"Varekjøp";"04.10 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";104.00;;
"2013-10-04";"2013-10-04";"17017653127";"Varekjøp";"03.10 BYGDØY SUSHI BYGDØY ALLE  OSLO";400.00;;
"2013-10-03";"2013-10-03";"17017365203";"Varekjøp";"02.10 FAMENCO PIZZA J JARVEIEN 1 JAR";219.00;;
"2013-10-02";"2013-10-02";"17017224008";"Varekjøp";"02.10 TINGHUSET KAFFE C J HAMBROS  OSLO";39.00;;
"2013-10-02";"2013-10-02";"17017349047";"Varekjøp";"01.10 KIWI 410 LILLEA LILLEAKERVN. OSLO";106.82;;
"2013-10-02";"2013-10-02";"50001685147";"Visa";"*9469 30.09 NOK 7.00 APPLE ITUNES STORE-NOK Kurs: 1.0000";7.00;;
"2013-10-02";"2013-10-02";"91528641";"Overføring";"Mobilbank";4016.50;;
"2013-10-01";"2013-10-01";"50968019152";"Giro";"Nettgiro fra: Hildegunn Mjelde Betalt: 01.10.13";;4016.50;
"2013-10-01";"2013-10-01";"50001685147";"Visa";"*9469 28.09 NOK 99.00 SPOTIFY SPOTIFY PREMIU Kurs: 1.0000";99.00;;
"2013-09-30";"2013-09-30";"17017241290";"Varekjøp";"29.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";53.00;;
"2013-09-30";"2013-09-30";"17017911921";"Varekjøp";"28.09 MENY CC VEST LILLEAKERVN  OSLO";624.70;;
"2013-09-30";"2013-09-30";"17017558471";"Varekjøp";"28.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";185.00;;
"2013-09-30";"2013-09-30";"17017242346";"Varekjøp";"29.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";30.00;;
"2013-09-30";"2013-09-30";"17017616344";"Varekjøp";"30.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-30";"2013-09-30";"50001685147";"Visa";"*9469 26.09 NOK 135.00 EUROPARK EMV Kurs: 1.0000";135.00;;
"2013-09-30";"2013-09-30";"50001685147";"Visa";"*9469 26.09 NOK 60.00 EUROPARK ONLINE Kurs: 1.0000";60.00;;
"2013-09-30";"2013-09-30";"50001685147";"Visa";"*9469 26.09 NOK 180.00 EUROPARK EMV Kurs: 1.0000";180.00;;
"2013-09-30";"2013-10-01";"90010000";"Kreditrente";"KREDITRENTER";;6.04;
"2013-09-30";"2013-10-01";"90320000";"Avgift";"Årsavgift Bankkort";250.00;;
"2013-09-30";"2013-09-30";"17017117538";"Varekjøp";"28.09 XXL INFORAMA SANDVIKSVN SANDVIKA";199.00;;
"2013-09-30";"2013-09-30";"17017367169";"Varekjøp";"29.09 STOCKFLETHS 8 B BYGDØY ALLÈ  OSLO";73.00;;
"2013-09-30";"2013-09-30";"17017608720";"Varekjøp";"29.09 BUNNPRIS SKØYEN DRAMMENSVEIE OSLO";91.10;;
"2013-09-27";"2013-09-27";"17017793223";"Varekjøp";"27.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-26";"2013-09-26";"50001685147";"Visa";"*9469 23.09 NOK 35.00 APPLE ITUNES STORE-NOK Kurs: 1.0000";35.00;;
"2013-09-26";"2013-09-26";"50001685147";"Visa";"*9469 24.09 NOK 1095.00 GODTLEVERT.NO AS Kurs: 1.0000";1095.00;;
"2013-09-26";"2013-09-26";"17017014093";"Varekjøp";"26.09 TINGHUSET KAFFE C J HAMBROS  OSLO";32.00;;
"2013-09-26";"2013-09-26";"17017473026";"Varekjøp";"26.09 SERRANOS BODEGA TRELASTGATA  OSLO";65.00;;
"2013-09-26";"2013-09-26";"50001685147";"Visa";"*9469 19.09 NOK 11.00 Q-PARK AS (CALE) Kurs: 1.0000";11.00;;
"2013-09-25";"2013-09-25";"17017829599";"Varekjøp";"24.09 Rimi Lysehagan   Oslo";152.60;;
"2013-09-25";"2013-09-25";"50975004875";"Lønn";"Lonn fra CISCO SYSTEMS NORWAY AS";;37594.16;
"2013-09-25";"2013-09-24";"91520038";"Overføring";"Mobilbank";;80.00;
"2013-09-25";"2013-09-25";"17017502295";"Varekjøp";"25.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-25";"2013-09-25";"17017399422";"Varekjøp";"24.09 MENY CC VEST LILLEAKERVN  OSLO";270.09;;
"2013-09-25";"2013-09-25";"91523673";"Overføring";"OVERFØRING MELLOM EGNE KONTI";10700.00;;
"2013-09-25";"2013-09-25";"91360809";"Overføring";"TIL KREDITTKORTKONTO";10740.00;;
"2013-09-24";"2013-09-24";"17017730383";"Varekjøp";"23.09 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";203.39;;
"2013-09-24";"2013-09-24";"91525909";"Overføring";"Mobilbank";;300.00;
"2013-09-24";"2013-09-24";"17017546899";"Varekjøp";"24.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-24";"2013-09-24";"17017330532";"Varekjøp";"23.09 BABY SWIM PROD. ARNEBRÅTVN.  OSLO";5.00;;
"2013-09-23";"2013-09-23";"17017177512";"Varekjøp";"20.09 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";202.19;;
"2013-09-23";"2013-09-23";"17017646578";"Varekjøp";"21.09 ERICHSEN BJØRKH BISKOP JENS  OSLO";69.00;;
"2013-09-23";"2013-09-23";"17017065227";"Varekjøp";"22.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";179.00;;
"2013-09-23";"2013-09-23";"17017739826";"Varekjøp";"21.09 SMOOTHIE XCHANG KARENLYST AL OSLO";124.00;;
"2013-09-23";"2013-09-23";"17017335593";"Varekjøp";"21.09 H&M 724 SANDVIK BRODTKORBSGT SANDVIKA";79.50;;
"2013-09-23";"2013-09-23";"17017308582";"Varekjøp";"22.09 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";837.15;;
"2013-09-23";"2013-09-23";"17017785153";"Varekjøp";"21.09 STOCKFLETH3 SAN BRODTKORBSGT SANDVIKA";76.00;;
"2013-09-23";"2013-09-23";"17017882398";"Varekjøp";"23.09 CISCO CATERING  PHILIP PERDE LYSAKER";61.00;;
"2013-09-23";"2013-09-23";"17017652728";"Varekjøp";"21.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";156.00;;
"2013-09-20";"2013-09-20";"17017735493";"Varekjøp";"19.09 MENY CC VEST LILLEAKERVN  OSLO";308.59;;
"2013-09-20";"2013-09-20";"17017813631";"Varekjøp";"20.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-19";"2013-09-19";"17017812287";"Varekjøp";"19.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-19";"2013-09-19";"50001685147";"Visa";"*9469 17.09 NOK 1095.00 GODTLEVERT.NO AS Kurs: 1.0000";1095.00;;
"2013-09-19";"2013-09-19";"17017418463";"Varekjøp";"19.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";144.00;;
"2013-09-19";"2013-09-19";"17017569167";"Varekjøp";"18.09 KIWI 410 LILLEA LILLEAKERVN. OSLO";51.61;;
"2013-09-18";"2013-09-18";"17017163591";"Varekjøp";"18.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-18";"2013-09-18";"17017225338";"Varekjøp";"17.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";105.00;;
"2013-09-18";"2013-09-18";"17017126964";"Varekjøp";"17.09 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";125.89;;
"2013-09-17";"2013-09-17";"17017026223";"Varekjøp";"17.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-17";"2013-09-17";"17017926049";"Varekjøp";"16.09 KIWI 410 LILLEA LILLEAKERVN. OSLO";418.40;;
"2013-09-17";"2013-09-17";"17017481728";"Varekjøp";"16.09 BYGDØY SUSHI BYGDØY ALLE  OSLO";383.00;;
"2013-09-17";"2013-09-17";"50001685147";"Visa";"*9469 13.09 NOK 42.00 APPLE ITUNES STORE-NOK Kurs: 1.0000";42.00;;
"2013-09-17";"2013-09-17";"17017639645";"Varekjøp";"16.09 BABY SWIM PROD. ARNEBRÅTVN.  OSLO";105.00;;
"2013-09-16";"2013-09-16";"17017310027";"Papirbasert reserve-løsning bet.terminal";"12.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-16";"2013-09-16";"17017741537";"Varekjøp";"14.09 G-SPORT CC VEST LILLEAKERVN. OSLO";149.00;;
"2013-09-16";"2013-09-16";"17017384084";"Varekjøp";"14.09 MENY CC VEST LILLEAKERVN  OSLO";394.85;;
"2013-09-16";"2013-09-16";"17017795258";"Varekjøp";"15.09 KAFFEBRAVD.BIRK THORVALD MEY OSLO";30.00;;
"2013-09-16";"2013-09-16";"17017543882";"Varekjøp";"15.09 7 - ELEVEN 7065 TH. MEYERSGT OSLO";27.00;;
"2013-09-16";"2013-09-16";"17017061094";"Varekjøp";"16.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-16";"2013-09-16";"17017889146";"Varekjøp";"14.09 FAMENCO PIZZA J JARVEIEN 1 JAR";219.00;;
"2013-09-16";"2013-09-16";"17017628533";"Varekjøp";"15.09 JOKER LYSAKER DRAMMENSVN.  LYSAKER";45.30;;
"2013-09-16";"2013-09-16";"17017437648";"Varekjøp";"14.09 MENY ALNA STRØMSVN.245 OSLO";25.80;;
"2013-09-16";"2013-09-16";"17017311804";"Varekjøp";"14.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";174.00;;
"2013-09-16";"2013-09-16";"17017690979";"Varekjøp";"13.09 KIWI 410 LILLEA LILLEAKERVN. OSLO";99.72;;
"2013-09-16";"2013-09-16";"17017873328";"Varekjøp";"14.09 ANTON SPORT LILLEAKERVN. OSLO";199.00;;
"2013-09-13";"2013-09-13";"17017619575";"Varekjøp";"13.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";87.00;;
"2013-09-13";"2013-09-13";"50001685147";"Visa";"*9469 10.09 NOK 24.00 Q-PARK AS (SKIDATA) Kurs: 1.0000";24.00;;
"2013-09-13";"2013-09-13";"17017588635";"Varekjøp";"13.09 366 MARKED DAMP DAMPLASSEN OSLO";19.90;;
"2013-09-12";"2013-09-12";"50001685147";"Visa";"*9469 10.09 NOK 14.00 EUROPARK ONLINE Kurs: 1.0000";14.00;;
"2013-09-12";"2013-09-12";"17017228146";"Varekjøp";"11.09 MENY CC VEST LILLEAKERVN  OSLO";541.60;;
"2013-09-12";"2013-09-12";"17017554779";"Varekjøp";"11.09 FORSKNINGSPARKE GAUSTADALLEE OSLO";57.00;;
"2013-09-11";"2013-09-11";"17017285990";"Varekjøp";"11.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-11";"2013-09-11";"91520119";"Overføring";"Mobilbank";4611.50;;
"2013-09-10";"2013-09-10";"17017192389";"Varekjøp";"10.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-10";"2013-09-10";"91360507";"Overføring";"TIL KREDITTKORTKONTO";2750.00;;
"2013-09-10";"2013-09-10";"50968009152";"Giro";"Nettgiro fra: Hildegunn Mjelde Betalt: 10.09.13";;4611.50;
"2013-09-10";"2013-09-10";"17017702970";"Varekjøp";"10.09 POSTEN BEDRIFTS LYSAKER TORG LYSAKER";169.90;;
"2013-09-09";"2013-09-09";"50143099451";"Overførsel";"10366996-43347508 FINN PRIVAT";;2750.00;
"2013-09-09";"2013-09-09";"17017030519";"Varekjøp";"07.09 LEVIS FACTORY O VESTBYVEIEN  VESTBY";1500.00;;
"2013-09-09";"2013-09-09";"17017191928";"Varekjøp";"08.09 JOKER LYSAKER DRAMMENSVN.  LYSAKER";162.55;;
"2013-09-09";"2013-09-09";"17017504655";"Varekjøp";"09.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-09";"2013-09-09";"17017032984";"Varekjøp";"08.09 STOCKFLETHS 8 B BYGDØY ALLÈ  OSLO";98.00;;
"2013-09-09";"2013-09-09";"17017232358";"Varekjøp";"08.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";104.00;;
"2013-09-09";"2013-09-09";"17017403641";"Varekjøp";"07.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";171.00;;
"2013-09-09";"2013-09-09";"17017648912";"Varekjøp";"07.09 TAPAZ AS VESTBYVN 155 VESTBY";50.00;;
"2013-09-09";"2013-09-09";"17017908312";"Varekjøp";"09.09 7 - ELEVEN 7043 ULLERN ALLE  OSLO";72.00;;
"2013-09-09";"2013-09-09";"17017551220";"Varekjøp";"09.09 SAXEN SKØYEN HOVFARET 17  OSLO";290.00;;
"2013-09-09";"2013-09-09";"17017771377";"Varekjøp";"07.09 667 ULTRA BRODKORBSGT. SANDVIKA";421.44;;
"2013-09-06";"2013-09-06";"17017845033";"Varekjøp";"05.09 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";318.22;;
"2013-09-05";"2013-09-03";"50001685147";"Visa";"*9469 03.09 NOK 100.00 GODTLEVERT.NO AS Kurs: 1.0000";;100.00;
"2013-09-05";"2013-09-05";"50001685147";"Visa";"*9469 03.09 USD 1.01 Amazon Web Services Kurs: 6.1980";6.26;;
"2013-09-05";"2013-09-05";"50001685147";"Visa";"*9469 02.09 NOK 48.00 Q-PARK AS (SKIDATA) Kurs: 1.0000";48.00;;
"2013-09-05";"2013-09-05";"17017016861";"Varekjøp";"04.09 Rimi Lysehagan   Oslo";193.70;;
"2013-09-05";"2013-09-05";"50001685147";"Visa";"*9469 03.09 NOK 547.50 GODTLEVERT.NO AS Kurs: 1.0000";547.50;;
"2013-09-03";"2013-09-03";"50001685147";"Visa";"*9469 31.08 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-09-03";"2013-09-03";"17017438755";"Varekjøp";"03.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-03";"2013-09-03";"50001685147";"Visa";"*9469 31.08 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-09-02";"2013-09-02";"17017577115";"Varekjøp";"30.08 FETTER KLOVN LILLEAKERVN. OSLO";229.00;;
"2013-09-02";"2013-09-02";"17017761983";"Varekjøp";"31.08 KIWI 410 LILLEA LILLEAKERVN. OSLO";204.21;;
"2013-09-02";"2013-09-02";"17017208458";"Varekjøp";"01.09 PEPPES PIZZA GRINIVN 1 OSLO";306.00;;
"2013-09-02";"2013-09-02";"17017523793";"Varekjøp";"01.09 GRØNTHUSET STORGT 7 DRØBAK";11.00;;
"2013-09-02";"2013-09-02";"17017424433";"Varekjøp";"31.08 Matkroken Grens en Oslo";61.25;;
"2013-09-02";"2013-09-02";"17017931757";"Varekjøp";"31.08 7 - ELEVEN 7043 ULLERN ALLE  OSLO";20.00;;
"2013-09-02";"2013-09-02";"17017227717";"Varekjøp";"02.09 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-09-02";"2013-09-02";"17017475414";"Varekjøp";"01.09 NARVESEN 116 STORGT. 2 DRØBAK";18.00;;
"2013-09-02";"2013-09-02";"17017467296";"Varekjøp";"01.09 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";93.00;;
"2013-09-02";"2013-09-02";"17017819856";"Varekjøp";"02.09 POSTEN BEDRIFTS LYSAKER TORG LYSAKER";250.00;;
"2013-09-02";"2013-09-02";"17017470654";"Varekjøp";"30.08 MENY CC VEST LILLEAKERVN  OSLO";301.10;;
"2013-08-31";"2013-08-30";"17017891093";"Varekjøp";"30.08 SHELL 7-ELEVEN  DRAMMENSVN 4 HØVIK";915.20;;
"2013-08-31";"2013-08-30";"17017262224";"Varekjøp";"30.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-31";"2013-08-30";"17017094275";"Varekjøp";"30.08 STATOIL SKØYEN  DRAMMENSVEIE OSLO";349.00;;
"2013-08-31";"2013-08-30";"17017760826";"Varekjøp";"30.08 CISCO CATERING  PHILIP PERDE LYSAKER";5.00;;
"2013-08-31";"2013-08-30";"50001685147";"Visa";"*9469 28.08 NOK 15.00 EUROPARK ONLINE Kurs: 1.0000";15.00;;
"2013-08-31";"2013-09-01";"90010000";"Kreditrente";"KREDITRENTER";;5.98;
"2013-08-31";"2013-08-30";"50001685147";"Visa";"*9469 28.08 NOK 99.00 SPOTIFY SPOTIFY PREMIU Kurs: 1.0000";99.00;;
"2013-08-29";"2013-08-29";"17017005122";"Varekjøp";"29.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-29";"2013-08-29";"17017019433";"Varekjøp";"28.08 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";78.94;;
"2013-08-29";"2013-08-29";"17017206157";"Varekjøp";"28.08 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";87.00;;
"2013-08-29";"2013-08-29";"50001685147";"Visa";"*9469 23.08 NOK 21.00 Q-PARK AS (CALE) Kurs: 1.0000";21.00;;
"2013-08-28";"2013-08-28";"17017055500";"Varekjøp";"27.08 MENY CC VEST LILLEAKERVN  OSLO";484.05;;
"2013-08-28";"2013-08-28";"17017082203";"Varekjøp";"28.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-27";"2013-08-27";"17017151595";"Varekjøp";"27.08 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";14.00;;
"2013-08-27";"2013-08-27";"17017008342";"Varekjøp";"26.08 7 - ELEVEN 7043 ULLERN ALLE  OSLO";54.00;;
"2013-08-27";"2013-08-27";"17017739609";"Varekjøp";"27.08 HUDSUND BAD SNARØYVN 81  SNARØYA";112.00;;
"2013-08-27";"2013-08-27";"17017026387";"Varekjøp";"26.08 PIZZA PANCETTA  EILERT SUNDT OSLO";210.00;;
"2013-08-27";"2013-08-27";"17017136372";"Varekjøp";"27.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-26";"2013-08-26";"17017964441";"Varekjøp";"23.08 303 MEGA SKØYEN HOVFARET 17  OSLO";748.63;;
"2013-08-26";"2013-08-26";"17017559619";"Varekjøp";"25.08 ODONATA AS GML SNARØYV  SNARØYA";405.00;;
"2013-08-26";"2013-08-26";"17017889751";"Varekjøp";"25.08 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";101.00;;
"2013-08-26";"2013-08-26";"17017146901";"Varekjøp";"24.08 TINGHUSET KAFFE C J HAMBROS  OSLO";103.00;;
"2013-08-26";"2013-08-26";"17017787637";"Varekjøp";"25.08 ODONATA AS GML SNARØYV  SNARØYA";90.00;;
"2013-08-26";"2013-08-26";"17017585714";"Varekjøp";"24.08 BUTIKK BASTAS GRENSEN 19 OSLO";44.00;;
"2013-08-23";"2013-08-23";"17017104451";"Varekjøp";"22.08 DELI DELUCA CON STORTINGSGT  OSLO";125.00;;
"2013-08-23";"2013-08-23";"50975004210";"Lønn";"Lonn fra CISCO SYSTEMS NORWAY AS";;37594.16;
"2013-08-23";"2013-08-23";"17017959468";"Varekjøp";"22.08 DELI DELUCA CON STORTINGSGT  OSLO";128.00;;
"2013-08-23";"2013-08-23";"17017660434";"Varekjøp";"22.08 KAFFEBRENNERIET FJORDALLEEN  OSLO";86.00;;
"2013-08-23";"2013-08-23";"91523577";"Overføring";"OVERFØRING MELLOM EGNE KONTI";10700.00;;
"2013-08-23";"2013-08-23";"91523587";"Overføring";"OVERFØRING MELLOM EGNE KONTI";10000.00;;
"2013-08-23";"2013-08-23";"17017305121";"Varekjøp";"23.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-22";"2013-08-22";"50001685147";"Visa";"*9469 16.08 NOK 73.00 Q-PARK AS (CALE) Kurs: 1.0000";73.00;;
"2013-08-22";"2013-08-22";"17017313596";"Varekjøp";"22.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-22";"2013-08-22";"17017603835";"Varekjøp";"21.08 BYGDØY SUSHI BYGDØY ALLE  OSLO";400.00;;
"2013-08-21";"2013-08-21";"17017432583";"Varekjøp";"20.08 BURGER KING SANDVIKSVN.  SANDVIKA";62.00;;
"2013-08-21";"2013-08-21";"17017343196";"Varekjøp";"20.08 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";483.82;;
"2013-08-21";"2013-08-21";"17017230699";"Varekjøp";"20.08 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";130.00;;
"2013-08-21";"2013-08-21";"17017315879";"Varekjøp";"21.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-21";"2013-08-21";"17017387319";"Varekjøp";"20.08 FORSKNINGSPARKE GAUSTADALLEE OSLO";114.00;;
"2013-08-20";"2013-08-20";"17017995584";"Varekjøp";"20.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-20";"2013-08-20";"17017891736";"Varekjøp";"19.08 BABY SWIM PROD. ARNEBRÅTVN.  OSLO";20.00;;
"2013-08-19";"2013-08-19";"17017635726";"Varekjøp";"16.08 MENY CC VEST LILLEAKERVN  OSLO";327.80;;
